host             code  server                hostname
104.21.29.219    301   cloudflare            mint.sd
23.199.34.74     400   AkamaiGHost           m.mobilelegends.com.akamaized.net
23.199.34.74     400   AkamaiGHost           a1815.dscv.akamai.net
184.26.127.26    404   nginx                 media-exp1.licdn.com
184.26.127.16    400   AkamaiGHost           2-01-2c3e-005c.cdx.cedexis.net
15.197.170.90    301   awselb/2.0            mercadolibre.com
172.67.139.97    301   cloudflare            mobile-legends.net
13.35.35.66      301   CloudFront            monografias.com
184.26.127.16    400   AkamaiGHost           od.linkedin.edgesuite.net
202.129.235.14   302                         mobitel.lk
184.26.127.16    400   AkamaiGHost           a1916.dscg2.akamai.net
51.81.253.34     301   Apache/2.4.38 (Debian)  moov-africa.bf.com
147.139.144.240  502   BKWS                  mdomino.topbos.com
10.233.124.212                               line-apps.com
20.223.130.30    301   Apache                moov-africa.bj
51.178.226.136   302   Apache                moov.bj
45.60.129.11     301                         moov.com
13.35.7.63       301   CloudFront            moovitapp.com
13.35.35.112     301   CloudFront            mxtoolbox.com
13.35.35.53      200   openresty             mydigicel.app.link
13.35.35.120     403   CloudFront            mysf.onelink.me
13.35.7.39       301   CloudFront            nasional.okezone.com
13.35.7.6        301   CloudFront            dcmflm487azzr.cloudfront.net
173.245.58.100   301   cloudflare            ns.cloudflare.com
13.35.35.91      403   CloudFront            ngame1130.onelink.me
164.160.35.253   301   Apache                moov.ci
13.35.35.120     403   CloudFront            oox.onelink.me
13.35.35.12      301   CloudFront            onerpm.com
110.93.151.133                               m2.webtoons.com.akadns.net
13.35.35.59      502   CloudFront            play.iflix.com
52.23.179.69                                 moatads.com
13.35.35.110     403   CloudFront            prd-credencial-portal-unico.clarobrasil.mobi
54.231.172.13    301   AmazonS3              penpalschools.com
210.89.168.51                                kr1-m.webtoons.com.nheos.com
13.35.35.16      403   CloudFront            d15f9vdmkbiw7z.cloudfront.net
13.35.35.68      403   CloudFront            portaldigicel.music.com
13.35.7.87       301   CloudFront            qa-minhaclaro.clarobrasil.mobi
13.35.35.102     301   CloudFront            rabb.it
13.35.35.15      301   CloudFront            refugees.coursera.org
13.35.7.108      301   CloudFront            dn3afz7m1khpm.cloudfront.net
0.0.0.0                                      s-onetag.com
164.160.35.253   301   Apache                moov-africa.tg
108.139.10.116   301   AmazonS3              s.true.com
20.108.196.33    301   Microsoft-Azure-Application-Gateway/v2  o2.co.uk
13.35.7.67       301   CloudFront            send-otp.viu.lk
165.193.78.252   301   Microsoft-IIS         scorecardresearch.com
13.35.7.70       301   AmazonS3              socketlabs.com
184.26.127.40    400   AkamaiGHost           simliarweb-lite.edgesuite.net
184.26.127.49    400   AkamaiGHost           a1812.b.akamai.net
172.64.150.27    301   cloudflare            stake.com
196.28.243.151                               moov-africa.bf
13.35.35.74      301   Apache                promo.quizbotolainwi.ma
13.35.35.22      200   nginx                 spooncast.net
13.35.35.126     200   AmazonS3              rollout.ada.support
13.35.35.108     301   Apache                simplilearn.com
18.244.214.84    200   nginx                 static.chaordicsystems.com
13.35.35.114     301   CloudFront            status.maxmind.com
13.35.35.87      301   CloudFront            televicentro.com
172.17.182.27                                integration.viber.com
18.244.214.125   403   CloudFront            static2.chaordicsystems.com
13.35.7.43       301   CloudFront            tiktok.com
8.213.17.149     301   nginx/1.18.0 (Ubuntu)  shop.lebara.sa
13.35.7.25       403   CloudFront            trueid.onelink.me
107.154.251.29   200                         thaiairways.com
13.35.35.124     301   CloudFront            traveloka.com
13.35.7.101      301   CloudFront            ui.com
13.35.7.13       301   CloudFront            turbovpn.com
13.35.35.16      301   CloudFront            tryout.pahamify.com
76.76.21.123     308   Vercel                vercel-dns.com
13.35.35.118     200   Apache                d3a34l9vxbix3m.cloudfront.net
13.35.7.127      301   CloudFront            viu.tv
13.35.35.51      301   CloudFront            wattpad.com
13.35.35.39      301   CloudFront            www-cloudfront-alias.coursera.org
13.35.7.44       301   CloudFront            uxcam.com
13.35.35.116     200   openresty             uscx.app.link
13.35.35.84      301   CloudFront            www.arkonoffroad.com
13.35.7.6        301   CloudFront            www.abcactionnews.com
108.139.10.112   301   AmazonS3              true.com
13.35.35.98      301   CloudFront            www.clipclaps.com
13.35.7.114      301   CloudFront            wfts.prod.ewscripps.psdops.com
13.35.35.38      301   CloudFront            www.coursera.org
13.35.7.91       301   CloudFront            www.abc.com
13.35.7.88       301   CloudFront            www.entel.cl
76.76.21.9       308   Vercel                www.cloudx.com
13.35.35.43      301   CloudFront            www.guatemala.com
76.76.21.123     308   Vercel                cname.vercel-dns.com
13.35.35.94      301   CloudFront            www.digi.com
13.35.35.6       200   Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.16 mod_apreq2-20090110/2.8.0 mod_perl/2.0.10 Perl/v5.16.3  www.mimovil.mx
13.35.35.92      301   CloudFront            www.dialogfinance.lk
13.35.35.68      301   CloudFront            www.music.com
13.35.35.81      301   CloudFront            dialogfinance.eme-devops.com
13.35.35.71      301   CloudFront            www.myorbit.id
192.0.66.108     301   nginx                 www.nasa.gov
13.35.35.46      301   CloudFront            www.lionsgateplus.com
192.0.66.108     301   nginx                 nasa-gov.go-vip.net
13.35.35.121     403   CloudFront            origin-cf-www-lionsgateplus.lgp-aws139.com
13.35.7.6        301   CloudFront            www.quipper.net
184.26.127.40    403                         www.similarweb.com
13.35.7.68       403   AmazonS3              www-support-downloads.sonymobile.com
13.35.7.10       301   CloudFront            www.ultraleap.com
13.35.35.72      301   CloudFront            www.stepes.com
13.35.35.18      301   CloudFront            www.warnerbros.com
13.35.7.10       301   CloudFront            www.wsj.com
52.24.89.154     301   awselb/2.0            www.oxxocel.com
13.35.7.71       301   CloudFront            www.xatakamovil.com
184.26.127.17    200   Apache                www.lifeafter.game
35.164.144.34    301   awselb/2.0            prod-www-oxxocel-65722972.us-west-2.elb.amazonaws.com
13.35.35.106     200   nginx                 www.hutchgoplay.lk
184.26.127.16    400   AkamaiGHost           ov-gameweb.nie.easebar.com.akamaized.net
184.26.127.16    400   AkamaiGHost           a158.d.akamai.net
13.35.35.76      200   nginx                 www.omantelgames.com                       





                                                                                                                                                                                                                                                                                                   
                                                                                                                                                                                                                                                                                                                          
115 gapi.storyblok.com                                                                                                                                                                                                                                                                                                    
Server:         maxim.ns.cloudflare.com                                                                                                                                                                                                                                                                                   
Address:        162.159.44.198#53                                                                                                                                                                                                                                                                                         
                                                                                                                                                                                                                                                                                                                          
Non-authoritative answer:                                                                                                                                                                                                                                                                                                 
Name:   gapi.storyblok.com                                                                                                                                                                                                                                                                                                
Address: 18.154.7.10                                                                                                                                                                                                                                                                                                      
Name:   gapi.storyblok.com                                                                                                                                                                                                                                                                                                
Address: 18.154.7.111                                                                                                                                                                                                                                                                                                     
Name:   gapi.storyblok.com                                                                                                                                                                                                                                                                                                
Address: 18.154.7.95                                                                                                                                                                                                                                                                                                      
Name:   gapi.storyblok.com                                                                                                                                                                                                                                                                                                
Address: 18.154.7.110                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                          
                                                                                                                                                                                                                                                                                                                          
121 goole.com                                                                                                                                                                                                                                                                                                             
Server:         maxim.ns.cloudflare.com                                                                                                                                                                                                                                                                                   
Address:        172.64.35.198#53                                                                                                                                                                                                                                                                                          
                                                                                                                                                                                                                                                                                                                          
Non-authoritative answer:                                                                                                                                                                                                                                                                                                 
Name:   goole.com                                                                                                                                                                                                                                                                                                         
Address: 217.160.0.201                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                          
                                                                                                                                                                                                                                                                                                                          
123 happynet.online                                                                                                                                                                                                                                                                                                       
Server:         maxim.ns.cloudflare.com                                                                                                                                                                                                                                                                                   
Address:        172.64.35.198#53                                                                                                                                                                                                                                                                                          
                                                                                                                                                                                                                                                                                                                          
Non-authoritative answer:                                                                                                                                                                                                                                                                                                 
Name:   happynet.online                                                                                                                                                                                                                                                                                                   
Address: 89.117.169.34                                                                                                                                                                                                                                                                                                    
Name:   happynet.online                                                                                                                                                                                                                                                                                                   
Address: 2a02:4780:27:1071:0:223f:c91c:2                                                                                                                                                                                                                                                                                  
                                                                                                                                                                                                                                                                                                                          
                                                                                                                                                                                                                                                                                                                          
124 help.viu.com        viu.zendesk.com.                                                                                                                                                                                                                                                                                  
Server:         maxim.ns.cloudflare.com                                                                                                                                                                                                                                                                                   
Address:        172.64.35.198#53                                                                                                                                                                                                                                                                                          
                                                                                                                                                                                                                                                                                                                          
Non-authoritative answer:                                                                                                                                                                                                                                                                                                 
help.viu.com    canonical name = viu.zendesk.com.                                                                                                                                                                                                                                                                         
Name:   viu.zendesk.com                                                                                                                                                                                                                                                                                                   
Address: 104.16.53.111                                                                                                                                                                                                                                                                                                    
Name:   viu.zendesk.com                                                                                                                                                                                                                                                                                                   
Address: 104.16.51.111                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                          
                                                                                                                                                                                                                                                                                                                          
119 ghbi.ir                                                                                                                                                                                                                                                                                                               
Server:         maxim.ns.cloudflare.com                                                                                                                                                                                                                                                                                   
Address:        172.64.35.198#53                                                                                                                                                                                                                                                                                          
                                                                                                                                                                                                                                                                                                                          
Non-authoritative answer:                                                                                                                                                                                                                                                                                                 
Name:   ghbi.ir                                                                                                                                                                                                                                                                                                           
Address: 36.86.63.182                                                                                                                                                                                                                                                                                                     
Name:   ghbi.ir                                                                                                                                                                                                                                                                                                           
Address: 36.86.63.182                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                          
                                                                                                                                                                                                                                                                                                                          
125 hoichoi.tv                                                                                                                                                                                                                                                                                                            
Server:         maxim.ns.cloudflare.com                                                                                                                                                                                                                                                                                   
Address:        172.64.35.198#53                                                                                                                                                                                                                                                                                          
                                                                                                                                                                                                                                                                                                                          
Non-authoritative answer:                                                                                                                                                                                                                                                                                                 
Name:   hoichoi.tv                                                                                                                                                                                                                                                                                                        
Address: 172.67.201.157                                                                                                                                                                                                                                                                                                   
Name:   hoichoi.tv                                                                                                                                                                                                                                                                                                        
Address: 104.21.36.250                                                                                                                                                                                                                                                                                                    
Name:   hoichoi.tv                                                                                                                                                                                                                                                                                                        
Address: 2606:4700:3034::6815:24fa                                                                                                                                                                                                                                                                                        
Name:   hoichoi.tv                                                                                                                                                                                                                                                                                                        
Address: 2606:4700:3034::ac43:c99d                                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                                                                          
                                                                                                                                                                                                                                                                                                                          
126 hotjar.com                                                                                                                                                                                                                                                                                                            
Server:         maxim.ns.cloudflare.com                                                                                                                                                                                                                                                                                   
Address:        172.64.35.198#53                                                                                                                                                                                                                                                                                          
                                                                                                                                                                                                                                                                                                                          
Non-authoritative answer:                                                                                                                                                                                                                                                                                                 
Name:   hotjar.com                                                                                                                                                                                                                                                                                                        
Address: 18.154.7.64                                                                                                                                                                                                                                                                                                      
Name:   hotjar.com                                                                                                                                                                                                                                                                                                        
Address: 18.154.7.75                                                                                                                                                                                                                                                                                                      
Name:   hotjar.com                                                                                                                                                                                                                                                                                                        
Address: 18.154.7.77                                                                                                                                                                                                                                                                                                      
Name:   hotjar.com                                                                                                                                                                                                                                                                                                        
Address: 18.154.7.70                                                                                                                                                                                                                                                                                                      
